Tick;Step;DateTime;free;0_Position;1_Position;ID
0;0;2019-01-01T11:00:00.0000000+01:00;True;28;26;dcbd8a6b-8ed2-4f3f-84b8-deb4da3fc96b
0;0;2019-01-01T11:00:00.0000000+01:00;True;30;18;5f92cc16-57aa-4e64-8a28-7830d450ee3b
0;0;2019-01-01T11:00:00.0000000+01:00;True;18;27;37283ba9-e682-4f94-b64b-e34d8e867b97
1;1;2019-01-01T11:00:01.0000000+01:00;True;28;26;dcbd8a6b-8ed2-4f3f-84b8-deb4da3fc96b
1;1;2019-01-01T11:00:01.0000000+01:00;True;30;18;5f92cc16-57aa-4e64-8a28-7830d450ee3b
1;1;2019-01-01T11:00:01.0000000+01:00;True;18;27;37283ba9-e682-4f94-b64b-e34d8e867b97
2;2;2019-01-01T11:00:02.0000000+01:00;True;28;26;dcbd8a6b-8ed2-4f3f-84b8-deb4da3fc96b
2;2;2019-01-01T11:00:02.0000000+01:00;True;30;18;5f92cc16-57aa-4e64-8a28-7830d450ee3b
2;2;2019-01-01T11:00:02.0000000+01:00;True;18;27;37283ba9-e682-4f94-b64b-e34d8e867b97
3;3;2019-01-01T11:00:03.0000000+01:00;True;28;26;dcbd8a6b-8ed2-4f3f-84b8-deb4da3fc96b
3;3;2019-01-01T11:00:03.0000000+01:00;True;30;18;5f92cc16-57aa-4e64-8a28-7830d450ee3b
3;3;2019-01-01T11:00:03.0000000+01:00;True;18;27;37283ba9-e682-4f94-b64b-e34d8e867b97
4;4;2019-01-01T11:00:04.0000000+01:00;True;28;26;dcbd8a6b-8ed2-4f3f-84b8-deb4da3fc96b
4;4;2019-01-01T11:00:04.0000000+01:00;True;30;18;5f92cc16-57aa-4e64-8a28-7830d450ee3b
4;4;2019-01-01T11:00:04.0000000+01:00;True;18;27;37283ba9-e682-4f94-b64b-e34d8e867b97
5;5;2019-01-01T11:00:05.0000000+01:00;True;28;26;dcbd8a6b-8ed2-4f3f-84b8-deb4da3fc96b
5;5;2019-01-01T11:00:05.0000000+01:00;True;30;18;5f92cc16-57aa-4e64-8a28-7830d450ee3b
5;5;2019-01-01T11:00:05.0000000+01:00;True;18;27;37283ba9-e682-4f94-b64b-e34d8e867b97
6;6;2019-01-01T11:00:06.0000000+01:00;True;28;26;dcbd8a6b-8ed2-4f3f-84b8-deb4da3fc96b
6;6;2019-01-01T11:00:06.0000000+01:00;True;30;18;5f92cc16-57aa-4e64-8a28-7830d450ee3b
6;6;2019-01-01T11:00:06.0000000+01:00;True;18;27;37283ba9-e682-4f94-b64b-e34d8e867b97
7;7;2019-01-01T11:00:07.0000000+01:00;True;28;26;dcbd8a6b-8ed2-4f3f-84b8-deb4da3fc96b
7;7;2019-01-01T11:00:07.0000000+01:00;True;30;18;5f92cc16-57aa-4e64-8a28-7830d450ee3b
7;7;2019-01-01T11:00:07.0000000+01:00;True;18;27;37283ba9-e682-4f94-b64b-e34d8e867b97
8;8;2019-01-01T11:00:08.0000000+01:00;True;28;26;dcbd8a6b-8ed2-4f3f-84b8-deb4da3fc96b
8;8;2019-01-01T11:00:08.0000000+01:00;True;30;18;5f92cc16-57aa-4e64-8a28-7830d450ee3b
8;8;2019-01-01T11:00:08.0000000+01:00;True;18;27;37283ba9-e682-4f94-b64b-e34d8e867b97
9;9;2019-01-01T11:00:09.0000000+01:00;True;28;26;dcbd8a6b-8ed2-4f3f-84b8-deb4da3fc96b
9;9;2019-01-01T11:00:09.0000000+01:00;True;30;18;5f92cc16-57aa-4e64-8a28-7830d450ee3b
9;9;2019-01-01T11:00:09.0000000+01:00;True;18;27;37283ba9-e682-4f94-b64b-e34d8e867b97
10;10;2019-01-01T11:00:10.0000000+01:00;True;28;26;dcbd8a6b-8ed2-4f3f-84b8-deb4da3fc96b
10;10;2019-01-01T11:00:10.0000000+01:00;True;30;18;5f92cc16-57aa-4e64-8a28-7830d450ee3b
10;10;2019-01-01T11:00:10.0000000+01:00;True;18;27;37283ba9-e682-4f94-b64b-e34d8e867b97
11;11;2019-01-01T11:00:11.0000000+01:00;True;28;26;dcbd8a6b-8ed2-4f3f-84b8-deb4da3fc96b
11;11;2019-01-01T11:00:11.0000000+01:00;True;30;18;5f92cc16-57aa-4e64-8a28-7830d450ee3b
11;11;2019-01-01T11:00:11.0000000+01:00;True;18;27;37283ba9-e682-4f94-b64b-e34d8e867b97
12;12;2019-01-01T11:00:12.0000000+01:00;True;28;26;dcbd8a6b-8ed2-4f3f-84b8-deb4da3fc96b
12;12;2019-01-01T11:00:12.0000000+01:00;True;30;18;5f92cc16-57aa-4e64-8a28-7830d450ee3b
12;12;2019-01-01T11:00:12.0000000+01:00;True;18;27;37283ba9-e682-4f94-b64b-e34d8e867b97
13;13;2019-01-01T11:00:13.0000000+01:00;True;28;26;dcbd8a6b-8ed2-4f3f-84b8-deb4da3fc96b
13;13;2019-01-01T11:00:13.0000000+01:00;True;30;18;5f92cc16-57aa-4e64-8a28-7830d450ee3b
13;13;2019-01-01T11:00:13.0000000+01:00;True;18;27;37283ba9-e682-4f94-b64b-e34d8e867b97
14;14;2019-01-01T11:00:14.0000000+01:00;True;28;26;dcbd8a6b-8ed2-4f3f-84b8-deb4da3fc96b
14;14;2019-01-01T11:00:14.0000000+01:00;True;30;18;5f92cc16-57aa-4e64-8a28-7830d450ee3b
14;14;2019-01-01T11:00:14.0000000+01:00;True;18;27;37283ba9-e682-4f94-b64b-e34d8e867b97
15;15;2019-01-01T11:00:15.0000000+01:00;True;28;26;dcbd8a6b-8ed2-4f3f-84b8-deb4da3fc96b
15;15;2019-01-01T11:00:15.0000000+01:00;True;30;18;5f92cc16-57aa-4e64-8a28-7830d450ee3b
15;15;2019-01-01T11:00:15.0000000+01:00;True;18;27;37283ba9-e682-4f94-b64b-e34d8e867b97
16;16;2019-01-01T11:00:16.0000000+01:00;True;28;26;dcbd8a6b-8ed2-4f3f-84b8-deb4da3fc96b
16;16;2019-01-01T11:00:16.0000000+01:00;True;30;18;5f92cc16-57aa-4e64-8a28-7830d450ee3b
16;16;2019-01-01T11:00:16.0000000+01:00;True;18;27;37283ba9-e682-4f94-b64b-e34d8e867b97
17;17;2019-01-01T11:00:17.0000000+01:00;True;28;26;dcbd8a6b-8ed2-4f3f-84b8-deb4da3fc96b
17;17;2019-01-01T11:00:17.0000000+01:00;True;30;18;5f92cc16-57aa-4e64-8a28-7830d450ee3b
17;17;2019-01-01T11:00:17.0000000+01:00;True;18;27;37283ba9-e682-4f94-b64b-e34d8e867b97
18;18;2019-01-01T11:00:18.0000000+01:00;True;28;26;dcbd8a6b-8ed2-4f3f-84b8-deb4da3fc96b
18;18;2019-01-01T11:00:18.0000000+01:00;True;30;18;5f92cc16-57aa-4e64-8a28-7830d450ee3b
18;18;2019-01-01T11:00:18.0000000+01:00;True;18;27;37283ba9-e682-4f94-b64b-e34d8e867b97
19;19;2019-01-01T11:00:19.0000000+01:00;True;28;26;dcbd8a6b-8ed2-4f3f-84b8-deb4da3fc96b
19;19;2019-01-01T11:00:19.0000000+01:00;True;30;18;5f92cc16-57aa-4e64-8a28-7830d450ee3b
19;19;2019-01-01T11:00:19.0000000+01:00;True;18;27;37283ba9-e682-4f94-b64b-e34d8e867b97
20;20;2019-01-01T11:00:20.0000000+01:00;True;28;26;dcbd8a6b-8ed2-4f3f-84b8-deb4da3fc96b
20;20;2019-01-01T11:00:20.0000000+01:00;True;30;18;5f92cc16-57aa-4e64-8a28-7830d450ee3b
20;20;2019-01-01T11:00:20.0000000+01:00;True;18;27;37283ba9-e682-4f94-b64b-e34d8e867b97
21;21;2019-01-01T11:00:21.0000000+01:00;True;28;26;dcbd8a6b-8ed2-4f3f-84b8-deb4da3fc96b
21;21;2019-01-01T11:00:21.0000000+01:00;True;30;18;5f92cc16-57aa-4e64-8a28-7830d450ee3b
21;21;2019-01-01T11:00:21.0000000+01:00;True;18;27;37283ba9-e682-4f94-b64b-e34d8e867b97
22;22;2019-01-01T11:00:22.0000000+01:00;True;28;26;dcbd8a6b-8ed2-4f3f-84b8-deb4da3fc96b
22;22;2019-01-01T11:00:22.0000000+01:00;True;30;18;5f92cc16-57aa-4e64-8a28-7830d450ee3b
22;22;2019-01-01T11:00:22.0000000+01:00;True;18;27;37283ba9-e682-4f94-b64b-e34d8e867b97
23;23;2019-01-01T11:00:23.0000000+01:00;True;28;26;dcbd8a6b-8ed2-4f3f-84b8-deb4da3fc96b
23;23;2019-01-01T11:00:23.0000000+01:00;True;30;18;5f92cc16-57aa-4e64-8a28-7830d450ee3b
23;23;2019-01-01T11:00:23.0000000+01:00;True;18;27;37283ba9-e682-4f94-b64b-e34d8e867b97
24;24;2019-01-01T11:00:24.0000000+01:00;True;28;26;dcbd8a6b-8ed2-4f3f-84b8-deb4da3fc96b
24;24;2019-01-01T11:00:24.0000000+01:00;True;30;18;5f92cc16-57aa-4e64-8a28-7830d450ee3b
24;24;2019-01-01T11:00:24.0000000+01:00;True;18;27;37283ba9-e682-4f94-b64b-e34d8e867b97
